|Ben    |Super  |Spact  |Village|
|Pat    |Bomb   |Tack   |Ice    |
|Pat    |Boomer |Alch   |Druid  |
|Pat    |Boomer |Super  |Druid  |
|Pat    |Boomer |Super  |Alch   |
|Pat    |Boomer |Glue   |Druid  |
|Pat    |Boomer |Glue   |Alch   |
|Pat    |Boomer |Glue   |Super  |
|Pat    |Boomer |Ice    |Druid  |
|Pat    |Boomer |Ice    |Alch   |
|Pat    |Boomer |Ice    |Super  |
|Pat    |Boomer |Ice    |Glue   |
|Pat    |Boomer |Tack   |Druid  |
|Pat    |Boomer |Tack   |Alch   |
|Pat    |Boomer |Tack   |Super  |
|Pat    |Boomer |Tack   |Glue   |
|Pat    |Boomer |Tack   |Ice    |
|Pat    |Boomer |Bomb   |Druid  |
|Pat    |Boomer |Bomb   |Alch   |
|Pat    |Boomer |Bomb   |Super  |
|Pat    |Boomer |Bomb   |Glue   |
|Pat    |Boomer |Bomb   |Ice    |
|Pat    |Boomer |Bomb   |Tack   |
|Striker|Super  |Alch   |Druid  |
|Striker|Glue   |Alch   |Druid  |
|Striker|Glue   |Super  |Druid  |
|Striker|Glue   |Super  |Alch   |
|Striker|Ice    |Alch   |Druid  |
|Striker|Ice    |Super  |Druid  |
|Striker|Ice    |Super  |Alch   |
|Striker|Ice    |Glue   |Druid  |
|Striker|Ice    |Glue   |Alch   |
|Striker|Tack   |Alch   |Druid  |
|Striker|Tack   |Super  |Druid  |
|Striker|Tack   |Super  |Alch   |
|Striker|Tack   |Glue   |Druid  |
|Striker|Tack   |Glue   |Alch   |
|Striker|Tack   |Glue   |Super  |
|Striker|Tack   |Ice    |Druid  |
|Striker|Tack   |Ice    |Alch   |
|Striker|Tack   |Ice    |Super  |
|Striker|Tack   |Ice    |Glue   |
|Striker|Bomb   |Alch   |Druid  |
|Striker|Bomb   |Super  |Druid  |
|Striker|Bomb   |Super  |Alch   |
|Striker|Bomb   |Glue   |Druid  |
|Striker|Bomb   |Glue   |Alch   |
|Striker|Bomb   |Glue   |Super  |
|Striker|Bomb   |Ice    |Druid  |
|Striker|Bomb   |Ice    |Alch   |
|Striker|Bomb   |Ice    |Super  |
|Striker|Bomb   |Ice    |Glue   |
|Striker|Bomb   |Tack   |Druid  |
|Striker|Bomb   |Tack   |Alch   |
|Striker|Bomb   |Tack   |Super  |
|Striker|Bomb   |Tack   |Glue   |
|Striker|Bomb   |Tack   |Ice    |
|Striker|Boomer |Alch   |Druid  |
|Striker|Boomer |Super  |Druid  |
|Striker|Boomer |Super  |Alch   |
|Striker|Boomer |Glue   |Druid  |
|Striker|Boomer |Glue   |Alch   |
|Striker|Boomer |Glue   |Super  |
|Striker|Boomer |Ice    |Druid  |
|Striker|Boomer |Ice    |Alch   |
|Striker|Boomer |Ice    |Super  |
|Striker|Boomer |Ice    |Glue   |
|Striker|Boomer |Tack   |Druid  |
|Striker|Boomer |Tack   |Alch   |
|Striker|Boomer |Tack   |Super  |
|Striker|Boomer |Tack   |Glue   |
|Striker|Boomer |Tack   |Ice    |
|Striker|Boomer |Bomb   |Druid  |
|Striker|Boomer |Bomb   |Alch   |
|Striker|Boomer |Bomb   |Super  |
|Striker|Boomer |Bomb   |Glue   |
|Striker|Boomer |Bomb   |Ice    |
|Striker|Boomer |Bomb   |Tack   |
|Glue   |Super  |Alch   |Druid  |
|Ice    |Super  |Alch   |Druid  |
|Ice    |Glue   |Alch   |Druid  |
|Ice    |Glue   |Super  |Druid  |
|Ice    |Glue   |Super  |Alch   |
|Tack   |Super  |Alch   |Druid  |
|Tack   |Glue   |Alch   |Druid  |
|Tack   |Glue   |Super  |Druid  |
|Tack   |Glue   |Super  |Alch   |
|Tack   |Ice    |Alch   |Druid  |
|Tack   |Ice    |Super  |Druid  |
|Tack   |Ice    |Super  |Alch   |
|Tack   |Ice    |Glue   |Druid  |
|Tack   |Ice    |Glue   |Alch   |
|Tack   |Ice    |Glue   |Super  |
|Bomb   |Super  |Alch   |Druid  |
|Bomb   |Glue   |Alch   |Druid  |
|Bomb   |Glue   |Super  |Druid  |
|Bomb   |Glue   |Super  |Alch   |
|Bomb   |Ice    |Alch   |Druid  |
|Bomb   |Ice    |Super  |Druid  |
|Bomb   |Ice    |Super  |Alch   |
|Bomb   |Ice    |Glue   |Druid  |
|Bomb   |Ice    |Glue   |Alch   |
|Bomb   |Ice    |Glue   |Super  |
|Bomb   |Tack   |Alch   |Druid  |
|Bomb   |Tack   |Super  |Druid  |
|Bomb   |Tack   |Super  |Alch   |
|Bomb   |Tack   |Glue   |Druid  |
|Bomb   |Tack   |Glue   |Alch   |
|Bomb   |Tack   |Glue   |Super  |
|Bomb   |Tack   |Ice    |Druid  |
|Bomb   |Tack   |Ice    |Alch   |
|Bomb   |Tack   |Ice    |Super  |
|Bomb   |Tack   |Ice    |Glue   |
|Boomer |Super  |Alch   |Druid  |
|Boomer |Glue   |Alch   |Druid  |
|Boomer |Glue   |Super  |Druid  |
|Boomer |Glue   |Super  |Alch   |
|Boomer |Ice    |Alch   |Druid  |
|Boomer |Ice    |Super  |Druid  |
|Boomer |Ice    |Super  |Alch   |
|Boomer |Ice    |Glue   |Druid  |
|Boomer |Ice    |Glue   |Alch   |
|Boomer |Ice    |Glue   |Super  |
|Boomer |Tack   |Alch   |Druid  |
|Boomer |Tack   |Super  |Druid  |
|Boomer |Tack   |Super  |Alch   |
|Boomer |Tack   |Glue   |Druid  |
|Boomer |Tack   |Glue   |Alch   |
|Boomer |Tack   |Glue   |Super  |
|Boomer |Tack   |Ice    |Druid  |
|Boomer |Tack   |Ice    |Alch   |
|Boomer |Tack   |Ice    |Super  |
|Boomer |Tack   |Ice    |Glue   |
|Boomer |Bomb   |Alch   |Druid  |
|Boomer |Bomb   |Super  |Druid  |
|Boomer |Bomb   |Super  |Alch   |
|Boomer |Bomb   |Glue   |Druid  |
|Boomer |Bomb   |Glue   |Alch   |
|Boomer |Bomb   |Glue   |Super  |
|Boomer |Bomb   |Ice    |Druid  |
|Boomer |Bomb   |Ice    |Alch   |
|Boomer |Bomb   |Ice    |Super  |
|Boomer |Bomb   |Ice    |Glue   |
|Boomer |Bomb   |Tack   |Druid  |
|Boomer |Bomb   |Tack   |Alch   |
|Boomer |Bomb   |Tack   |Super  |
|Boomer |Bomb   |Tack   |Glue   |
|Boomer |Bomb   |Tack   |Ice    |
